Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
Finance & Accounts,0301,Revenue Transfer for Capital Works,3110.0,City Development Fund,3111001.0,0.0,59000.0,59954.51,0.0,117559.86,54300.0,0.0,43000.0,43000.0,43000.0
Finance & Accounts,0301,Plan Grants,3200.0,Contribution Under BOOT Projects,3202005.0,0.0,1500.0,1500.0,0.0,1550.0,800.0,0.0,1000.0,1000.0,1000.0
Finance & Accounts,0301,Contributions,3203.0,Deposit Works Receipts,3208007.0,16.07,600.0,50.0,68.51336,100.0,600.0,762.53,1500.0,126.0,94.0
Finance & Accounts,0301,Borrowings,3311.0,Loans from Banks-(Greater Hyderabad Development Plan),3311001.0,0.0,24642.0,29109.66,0.0,30000.59,30000.0,0.0,0.0,0.0,0.0
Finance & Accounts,0301,Borrowings,3311.0,Bonds (with guarantee from Government of Telangana),3311002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,50000.0,80000.0
Total for Finance & Accounts (0301),,,,,,16.07,85742.0,90614.17,68.51336,149210.45,85700.0,762.53,145500.0,94126.0,124094.0
City & Town Planning,1100.0,Regularisation fees,3204.0,Building Penalization Scheme,3208011.0,7597.47,0.0,5000.0,2430.24355,2950.0,100.0,52.2,50000.0,56300.0,61000.0
City & Town Planning,1100.0,Regularisation fees,3204.0,Layout Regularization Scheme,3208012.0,15087.63,0.0,11605.0,9180.0,5466.0,300.0,801.0,30000.0,26893.0,29200.0
Total for City & Town Planning (1100),,,,,,22685.1,0.0,16605.0,11610.24355,8416.0,400.0,853.2,80000.0,83193.0,90200.0
Public Works-General,2801.0,Plan Grants,3200.0,JNNURM Government of India,3201002.0,5943.66,2000.0,200.0,76.75,2500.0,12500.0,1992.63,0.0,0.0,0.0
Public Works-General,2801.0,Plan Grants,3200.0,H-TRIMS - Government of Telangana,3202004.0,0.0,677.0,4300.25,4231.0,680.0,0.0,0.0,0.0,0.0,0.0
Public Works-General,2801.0,Plan Grants,3200.0,JNNURM Government of Telangana,3203023.0,2256.52,1000.0,800.0,0.0,1000.0,1000.0,599.3,0.0,0.0,0.0
Public Works-General,2801.0,Plan Grants,3200.0,Beneficiary Contributions,3203026 *,1731.31,5000.0,850.0,1029.64879,1000.0,1500.0,1153.39,300.0,300.0,300.0
Public Works-General,2801.0,Plan Grants,3200.0,XIII Finance Commission,3202031.0,0.0,13581.0,4725.0,5.0,13610.0,35500.0,14422.28,6000.0,13000.0,13000.0
Public Works-General,2801.0,Plan Grants,3200.0,METROPOLIS,3202035.0,0.0,0.0,0.0,0.0,0.0,500.0,1016.25,0.0,0.0,0.0
Public Works-General,2801.0,Plan Grants,3203.0,XIV Finance Commission,3202039 *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20700.0,15000.0,21743.0
Public Works-General,2801.0,Plan Grants,3203.0,Assistance for improvement of roads,3202039 *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0,25000.0
Public Works-General,2801.0,Plan Grants,3203.0,Swatch Bharath,3202040 *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
Public Works-General,2801.0,Plan Grants,3203.0,National Urban Renewal Mission,3202041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
Public Works-General,2801.0,Plan Grants,3203.0,Smart Cities,3202043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
Public Works-General,2801.0,Contributions,3203.0,Public Contributions for works,3208001.0,129.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public Works-General,2801.0,Contributions,3203.0,MP/MLA Local Area Development,3208006.0,617.86,600.0,600.0,345.68544,600.0,1000.0,100.89,1000.0,1040.0,1050.0
Total for Public Works-General (2801),,,,,,10678.91,22858.0,11475.25,5688.08423,19390.0,52000.0,19284.74,68000.0,69340.0,76093.0
Mass Rapid Transport System,4201.0,Plan Grants,3200.0,Multi Modal Transport System Project,3202012.0,1250.0,15000.0,2500.0,2500.0,15010.0,2500.0,1860.31,2100.0,2100.0,2100.0
Mass Rapid Transport System,4201.0,Plan Grants,3200.0,Hyderabad Metro Rail Project,3202013.0,13702.27,37500.0,37500.0,21509.8,61150.0,45000.0,41473.86,25000.0,15000.0,15000.0
Total for Mass Rapid Transport System (4201),,,,,,14952.27,52500.0,40000.0,24009.8,76160.0,47500.0,43334.17,27100.0,17100.0,17100.0
Veterinary Services,4300.0,Plan Grants,3200.0,Modernisation of Abattoirs,3202032.0,0.0,0.0,0.0,591.59,0.0,0.0,4.85,0.0,0.0,0.0
Total for Veterinary Services (4300),,,,,,0.0,0.0,0.0,591.59,0.0,0.0,4.85,0.0,0.0,0.0
Horticulture,6401.0,Plan Grants,3200.0,TELANGANA HARITHAHARAM,3202036.0,0.0,0.0,0.0,0.0,0.0,2500.0,1500.0,2500.0,2500.0,2500.0
Total for Horticulture (6401),,,,,,0.0,0.0,0.0,0.0,0.0,2500.0,1500.0,2500.0,2500.0,2500.0
Urban Poverty Alleviation,7800.0,Revenue Transfer for Capital Works,3110.0,Urban Poverty alleviation,3111002.0,0.0,39500.0,0.0,0.0,0.0,36300.0,0.0,28700.0,32515.0,23075.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,JNNURM Government of India,3201002.0,0.0,12000.0,800.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,Rajiv Awas Yojana (RAY) Grant,3202018.0,227.68,10000.0,1000.0,0.0,1000.0,1000.0,179.17,0.0,0.0,0.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,JNNURM Government of Telangana,3202023.0,0.0,4500.0,3200.0,0.0,4513.0,3500.0,0.0,0.0,0.0,0.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,COP Project,3202034.0,12571.9,0.0,28.0,20.0,0.0,0.0,5.5,0.0,0.0,0.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,Scheduled Caste Sub Plan-Government of Telangana,3202038.0,0.0,0.0,0.0,0.0,0.0,25000.0,5700.0,9500.0,9500.0,9500.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,Tribal Sub Plan (TSP)- Government of Telangana,3202038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
Urban Poverty Alleviation,7800.0,Plan Grants,3200.0,Sardar Patel Housing Yojana,3202042.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,15500.0,15500.0,15500.0
Total for Urban Poverty Alleviation (7800),,,,,,12799.58,66000.0,5028.0,20.0,18013.0,65800.0,15184.67,58700.0,62515.0,53075.0
,,,,Total Capital Receipts ,,61131.93,227100.0,163722.42,41988.23114,271189.45,253900.0,80924.16,381800.0,328774.0,363062.0
