Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates,,,,
General Body,0101,Establishment Expenses,210,Basic Pay,2101001.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52,0.0,48.0,52.0,,,,
General Body,0101,Establishment Expenses,210,Dearness Allowance,2101002.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81,0.0,32.0,35.0,,,,
General Body,0101,Establishment Expenses,210,House Rent Allowance,2101003.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74,0.0,38.0,42.0,,,,
General Body,0101,Establishment Expenses,210,CCA,2101004.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,5.0,6.0,,,,
General Body,0101,Establishment Expenses,210,Conveyance & Other Allowance,2101005.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,2.5,3.0,,,,
General Body,0101,Establishment Expenses,210,Interim Relief,2101006.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95,0.0,5.0,6.0,,,,
General Body,0101,Establishment Expenses,210,Honorarium/ Sitting Fees to Corporators,2101009.0,87.52,300.0,178.11,77.65383,215.67,215.0,50.89,0.0,5.0,6.0,,,,
General Body,0101,Establishment Expenses,210,Honorarium (Others),2101010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,135.0,240.0,,,,
General Body,0101,Establishment Expenses,210,Health care & Medical Insurance,2102017.0,14.04,10.0,20.0,35.0,25.0,40.0,-10.0,45.0,45.0,48.0,,,,
General Body,0101,Establishment Expenses,210,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0.0,38.78,0.0,2.0,3.0,,,,
General Body,0101,Administrative Expenses,220,Releases from Mayors Discretionary Sanctions,2208003.0,19.0,300.0,300.0,51.0,300.0,300.0,9.0,50.0,40.0,42.0,,,,
Total for General Body (0101),,,,,,120.56,610.0,498.11,163.65383,540.67,555.0,185.83,325.0,357.5,483.0,,,,
General Administration,0201,Establishment Expenses,210,Basic Pay,2101001.0,2157.92,2704.55,2400.0,2276.26696,2930.0,2860.0,2275.57,2920.0,4075.8,4244.34,,,,
General Administration,0201,Establishment Expenses,210,Dearness Allowance,2101002.0,1047.37,912.12,640.0,1390.56362,950.0,1915.0,1769.06,1780.0,1444.98,1601.72,,,,
General Administration,0201,Establishment Expenses,210,House Rent Allowance,2101003.0,620.27,710.94,570.0,645.90485,580.0,715.0,676.34,740.0,1234.75,1395.19,,,,
General Administration,0201,Establishment Expenses,210,CCA,2101004.0,50.86,69.22,50.0,53.01636,50.0,77.0,52.26,92.0,101.75,128.19,,,,
General Administration,0201,Establishment Expenses,210,Conveyance & Other Allowances,2101005.0,11.04,47.62,49.85,40.46245,46.4,95.0,127.03,90.0,190.51,206.04,,,,
General Administration,0201,Establishment Expenses,210,Interim Relief,2101006.0,7.98,29.19,40.0,120.47371,50.0,490.0,550.45,440.0,332.0,144.6,,,,
General Administration,0201,Establishment Expenses,210,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0.0,103.98,0.0,148.89,114.63,,,,
General Administration,0201,Establishment Expenses,210,Honorarium-Others,2101010.0,0.0,0.0,108.0,0.0,170.0,170.0,8.12,170.0,107.0,57.0,,,,
General Administration,0201,Establishment Expenses,210,Washing Allowance,2101011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
General Administration,0201,Establishment Expenses,210,Outsource Agencies Wages (Others),2101012.0,802.04,1500.0,1960.0,1961.41146,2273.4,2630.0,2136.31,2570.0,1781.61,2306.36,,,,
General Administration,0201,Establishment Expenses,210,Dirty Allowance,2101013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
General Administration,0201,Establishment Expenses,210,Subsistence Allowance,2101014.0,0.0,0.0,8.0,0.0,16.0,20.0,0.72,20.0,20.17,23.6,,,,
General Administration,0201,Establishment Expenses,210,PHC Allowance,2101015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
General Administration,0201,Establishment Expenses,210,Per Pay,2101017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
General Administration,0201,Establishment Expenses,210,Outsource Agencies Wages (IT Professionals),2101021.0,2259.5,1200.0,1180.0,1136.32081,1200.0,1560.0,1130.83,1730.0,1660.0,1918.76,,,,
General Administration,0201,Establishment Expenses,210,Outsource Agencies Wages (Security Guards and Police Department),2101022.0,649.19,800.0,893.24,530.3689,896.15,950.0,612.62,1200.0,940.1,1226.37,,,,
General Administration,0201,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051.0,4.36,68.58,20.0,753.35564,20.0,850.0,563.8,90.0,800.0,1001.0,,,,
General Administration,0201,Establishment Expenses,210,Leave Travel Concession,2102001.0,10.82,21.1,5.1,0.0,7.66,15.0,6.84,20.0,29.17,33.5,,,,
